k141_771	LSU-rRNA_Hsa	99.372	478	3	0	1	478	2400	2877	0.0	867
k141_771	LSU-rRNA_Mfr	77.062	388	80	6	91	478	2122	2500	1.82e-54	215
k141_771	LSU-rRNA_Dme	86.842	114	14	1	365	478	2075	2187	8.79e-28	126
k141_771	LSU-rRNA_Sce	86.842	114	14	1	365	478	1827	1939	8.79e-28	126
k141_771	ERV3-1_SSc-LTR	100.000	29	0	0	378	406	76	48	4.21e-06	54.7
k141_2114	LTR17_Mim	100.000	29	0	0	166	194	222	194	3.92e-06	54.7
k141_2213	IFG7_I	95.225	377	18	0	1	377	1831	2207	1.20e-169	597
k141_2213	IFG-7a_PTa-I	96.784	342	11	0	36	377	1	342	7.29e-162	571
k141_1269	SorAra-4.18	100.000	30	0	0	76	105	2399	2428	7.79e-07	56.5
k141_374	MLT1F1	84.722	72	9	2	291	360	322	251	3.12e-11	71.3
k141_374	MLT1F1	84.722	72	9	2	291	360	322	251	3.12e-11	71.3
k141_1201	LSU-rRNA_Hsa	86.392	1117	61	50	1	1057	406	1491	0.0	1136
k141_1201	LSU-rRNA_Mfr	82.677	127	14	6	857	983	1146	1264	2.61e-21	106
k141_1201	LSU-rRNA_Ath	88.889	63	7	0	848	910	630	692	5.69e-13	78.7
k141_1201	LSU-rRNA_Dme	100.000	35	0	0	863	897	759	793	4.43e-09	65.8
k141_1201	LSU-rRNA_Hca	97.297	37	1	0	861	897	841	877	1.59e-08	63.9
k141_1201	LSU-rRNA_Tps	100.000	33	0	0	865	897	579	611	5.73e-08	62.1
k141_1201	LSU-rRNA_Ldo	94.737	38	2	0	860	897	296	333	2.06e-07	60.2
k141_1201	LSU-rRNA_Sce	97.222	36	0	1	861	896	632	666	2.06e-07	60.2
k141_1201	LSU-rRNA_Pfa	94.444	36	1	1	859	894	709	743	9.58e-06	54.7
k141_89	LOOPER	94.872	39	0	1	294	330	1384	1422	2.98e-07	60.2
k141_2411	MER34-int	78.462	1704	293	37	66	1708	6517	8207	0.0	1079
k141_2411	MER34-int	78.462	1704	293	37	66	1708	6517	8207	0.0	1079
k141_2411	MER34-int	78.462	1704	293	37	66	1708	6517	8207	0.0	1079
k141_2042	LTR16B2	79.204	226	40	3	249	468	1	225	8.40e-35	152
k141_2042	LTR16B2	79.204	226	40	3	249	468	1	225	8.40e-35	152
k141_2042	LTR16B2	79.204	226	40	3	249	468	1	225	8.40e-35	152
k141_1644	Tigger13a	83.478	115	16	3	1865	1976	582	696	1.83e-20	104
k141_1644	Tigger13a	83.478	115	16	3	1865	1976	582	696	1.83e-20	104
k141_1644	Tigger13a	83.478	115	16	3	1865	1976	582	696	1.83e-20	104
k141_1750	MIR	100.000	28	0	0	410	437	201	228	3.15e-05	52.8
k141_1750	MIR	100.000	28	0	0	410	437	201	228	3.15e-05	52.8
k141_1750	MIR	100.000	28	0	0	410	437	201	228	3.15e-05	52.8
k141_273	EquPrz-2.27	73.421	380	79	16	401	764	941	1314	1.13e-28	130
k141_273	EquPrz-6.649	72.313	307	66	17	486	779	1739	2039	4.17e-13	78.7
k141_273	L1-4B_EC	72.222	306	68	15	486	779	1776	2076	4.17e-13	78.7
k141_273	TapInd-6.7	71.895	306	69	15	486	779	1762	2062	1.94e-11	73.1
k141_1647	MON1	94.286	35	2	0	34	68	110	144	5.51e-06	54.7
